time_stamp,model_name,hard_test_RMSE,hard_test_r2,param_test_RMSE,param_test_r2,iqr_test_RMSE,iqr_test_r2
19-06-2022 23:02:33,1.0,True,True,False,True,False,True
19-06-2022 23:04:53,1.0,True,False,False,False,False,False
19-06-2022 23:12:43,1.0,True,False,False,False,False,False
19-06-2022 23:21:37,1.0,False,False,False,False,False,False
19-06-2022 23:25:57,1.0,True,False,False,False,False,False
19-06-2022 23:27:33,1.0,True,True,False,False,False,False
19-06-2022 23:27:33,1.0,True,True,False,False,False,False
19-06-2022 23:27:55,1.0,True,False,False,False,False,False
19-06-2022 23:27:55,1.0,True,False,False,False,False,False
19-06-2022 23:28:27,1.0,True,False,False,False,False,False
19-06-2022 23:28:27,1.0,True,False,False,False,False,False
19-06-2022 23:30:25,1.0,True,False,False,False,False,False
19-06-2022 23:30:25,1.0,True,False,False,False,False,False
19-06-2022 23:31:20,1.0,True,True,False,False,False,False
19-06-2022 23:31:20,1.0,True,True,False,False,False,False
19-06-2022 23:33:55,1.0,True,False,False,False,False,False
19-06-2022 23:33:55,1.0,True,False,False,False,False,False
19-06-2022 23:35:23,1.0,True,False,False,False,False,False
19-06-2022 23:35:23,1.0,True,False,False,False,False,False
19-06-2022 23:35:42,1.0,True,False,False,False,False,False
19-06-2022 23:35:42,1.0,True,False,False,False,False,False
